rhoc M Mb R C kl_1 kl_2 kl_3 kl_4
0.000469346733668342 0.29451738679197 0.300489593189324 9.59041124403495 0.0307095680568603 0 0.0510062737426652 0.010392720950843 0.00293984671488819
0.000493969849246231 0.330991455203695 0.33860480449324 9.33489204926929 0.0354574486193019 0 0.0614841334409638 0.0133999671902926 0.00404386714852711
0.000518592964824121 0.371097522549644 0.38073796960856 9.1460006006257 0.0405748412616829 0 0.0717465359994385 0.0165356507722316 0.00526042475706765
0.00054321608040201 0.414832783763195 0.426947244351584 9.00867108094019 0.0460481662651515 0 0.0814327144215093 0.0196536669010925 0.00653288546448464
0.0005678391959799 0.462098123922847 0.477202640831616 8.91195808644012 0.0518514696142868 0 0.0902228818094468 0.0226093170052538 0.00778976791488515
0.000592462311557789 0.512712098518673 0.531373588083655 8.84618214661746 0.0579585735429064 0 0.0979316328695423 0.0252979168615588 0.00897163504544737
0.000617085427135678 0.566426150603687 0.589270616893917 8.80511755590618 0.0643291979927908 0 0.10437959341145 0.0276185755961055 0.0100199946456511
0.000641708542713568 0.622930769804314 0.650629448051589 8.78270442661451 0.0709269878098854 0 0.109526647159979 0.0295241344184433 0.01090024801539
0.000666331658291457 0.681863179371854 0.715125952402375 8.77397685264216 0.0777142669537043 0 0.113404485093055 0.0310007795828402 0.0115955463733407
0.000690954773869347 0.742820630939524 0.78238122020843 8.7756398508852 0.0846457515989101 0 0.116047710435579 0.0320426584096749 0.012095197844516
0.000715577889447236 0.805373423018046 0.851979782363024 8.7847360142126 0.0916787279338904 0 0.117551331287017 0.0326725271669003 0.0124046610193534
0.000740201005025126 0.869078538908205 0.923468632335545 8.80038458604849 0.0987546090071996 0 0.117933307248879 0.0328880274401985 0.0125190605088057
0.000764824120603015 0.933507400693277 0.996422164547458 8.81658385914947 0.105880850860906 0 0.117599831510204 0.0328419931716887 0.0125109305052596
0.000789447236180905 0.998254872013172 1.07039691140999 8.83572230599644 0.112979430253902 0 0.11642761824648 0.0324836697458083 0.012354915005519
0.000814070351758794 1.0629337865619 1.14497009145536 8.85544579077408 0.120031651898236 0 0.114626646416873 0.031893759977659 0.0120902049526032
0.000838693467336683 1.12718136345246 1.21973214550944 8.87492971104349 0.127007356694877 0 0.11231565541438 0.0311183502749653 0.0117396043840378
0.000863316582914573 1.19066463442196 1.29429224437842 8.89369913011038 0.133877323372776 0 0.109594573650964 0.0301965754716471 0.0113226574752166
0.000887939698492462 1.25309116299409 1.36829009419084 8.9116111630183 0.140613312236311 0 0.106543315811617 0.0291598834225989 0.0108550836013461
0.000912562814070352 1.31421581017031 1.44143320939967 8.92541499022511 0.147244224678584 0 0.103418397193217 0.0281067887907803 0.0103843525638424
0.000937185929648241 1.37382828154939 1.51341098214189 8.94083101968168 0.153657783994032 0 0.0999486926122342 0.0269342767587058 0.00986178025804729
0.000961809045226131 1.43175137242498 1.58400866199078 8.95128589466832 0.159949239614587 0 0.0965618174553429 0.0258043471188322 0.00936412231288089
0.00098643216080402 1.48783996289401 1.65298845744656 8.96070108143162 0.166040575326982 0 0.0930849471378183 0.0246512441246128 0.00886026907701083
0.00101105527638191 1.54197939072612 1.72019479407939 8.96450938186723 0.172009345413272 0 0.0897933615181137 0.0235763191431488 0.00839676459475854
0.0010356783919598 1.59408614208769 1.78542082545462 8.97090838247524 0.177695064326123 0 0.0863078583826044 0.0224391566292959 0.00790895541868827
0.00106030150753769 1.64411153251049 1.84861529113864 8.97183619739183 0.183252513347095 0 0.0830551152238093 0.0213952553381772 0.00746738555360479
0.00108492462311558 1.69202995511438 1.90966162078887 8.97169768956865 0.188596407687889 0 0.0798433440716245 0.0203735429741058 0.0070393287800584
0.00110954773869347 1.73783398753838 1.96849921448939 8.97067478563732 0.193723886894303 0 0.0766879807859162 0.0193789463440141 0.00662671683246456
0.00113417085427136 1.78153196513559 2.02513010187075 8.96368206626658 0.198750017232328 0 0.0738168824871116 0.018490781479716 0.00626382183434983
0.00115879396984925 1.82314568554666 2.07945030091637 8.96060988977691 0.203462231697719 0 0.0708303647484343 0.0175674824943211 0.00588839316230319
0.00118341708542714 1.86270827343266 2.13153885602583 8.95157554378204 0.208087198094032 0 0.0681379472675008 0.0167511867283351 0.0055616244375632
0.00120804020100503 1.90026245872706 2.18135829477902 8.94192020118233 0.21251167713125 0 0.0655305283643671 0.0159679397145645 0.00525107392958766
0.00123266331658291 1.93586075799991 2.2289339333407 8.93156448026051 0.216743747669103 0 0.0630183044663367 0.0152206098390497 0.0049576598373494
0.0012572864321608 1.96956236167367 2.27429783227424 8.92072189416366 0.220785087243024 0 0.060598314850412 0.0145075289754646 0.00468044572959516
0.00128190954773869 2.00143028664726 2.31754413670221 8.90404989898024 0.224777523638595 0 0.0584499448787772 0.013887732042733 0.00444327070154483
0.00130653266331658 2.03153022724751 2.35862797527963 8.8916684722629 0.228475705497204 0 0.0562360609596939 0.0132480350587279 0.00419926725441794
0.00133115577889447 2.0599295874433 2.39769257418711 8.87415337958185 0.232126885724435 0 0.0542613273944207 0.0126888343390477 0.00398924063784883
0.00135577889447236 2.08669665767419 2.43470344612149 8.86092757247471 0.235494155731081 0 0.0522335262999612 0.0121136175987812 0.00377383105089743
0.00138040201005025 2.11189992586777 2.46982302016162 8.84204947345684 0.238847331968401 0 0.0504491447961156 0.0116185333965664 0.00359146032012289
0.00140502512562814 2.13560750288467 2.50306111341286 8.82318487498901 0.242044968244794 0 0.0487357597985709 0.0111468695794813 0.00341909850677297
0.00142964824120603 2.15788689348558 2.53447929515979 8.80404241876867 0.245101828324377 0 0.0471007311110031 0.0107006761593525 0.00325741995242498
0.00145427135678392 2.17880510117302 2.56409317387536 8.79013290025973 0.247869415160792 0 0.0454000909647157 0.0102341811320849 0.00308849943383068
0.00147889447236181 2.19842755389334 2.59208105880586 8.77019327509131 0.250670365513747 0 0.0439266209504442 0.00983978010265233 0.00294818775426351
0.0015035175879397 2.21681769800058 2.61845446862251 8.75016587599001 0.253345791316186 0 0.0425201311894446 0.00946634790345154 0.00281636763499583
0.00152814070351759 2.23403684106432 2.64327992388526 8.73006993333828 0.255901368273467 0 0.0411779653175956 0.00911280368029809 0.00269254504477734
