rhoc M Mb R C kl_1 kl_2 kl_3 kl_4
0.000493969849246231 0.31477614969671 0.321671685978094 9.46629520092359 0.033252306527056 0 0.0585518473579919 0.0128242830184785 0.00390086443189291
0.000518592964824121 0.343081443176267 0.351317415522211 9.2838752061943 0.0369545513652918 0 0.0660215583729608 0.0150941276277106 0.00478389371047562
0.00054321608040201 0.372917883074687 0.382693326907582 9.13605708708343 0.0408182522854327 0 0.0731070145692104 0.0173429570792458 0.0056917664074927
0.0005678391959799 0.404227992562567 0.415760744272468 9.01668127642728 0.0448311280137359 0 0.0796861755985691 0.0195068138779733 0.00659615715200945
0.000592462311557789 0.436873551387455 0.450393459992035 8.9200710617028 0.0489764653628284 0 0.0856716289215514 0.0215384599636523 0.00746999096878514
0.000617085427135678 0.470687590457974 0.486434673307252 8.84175318581201 0.0532346448228465 0 0.0910056154360034 0.0234002264581223 0.00829256139356225
0.000641708542713568 0.50553025050083 0.523747536653735 8.77838978115111 0.0575880387068595 0 0.0956808683183191 0.025072552937769 0.00904492716721721
0.000666331658291457 0.541285222373699 0.562232127083547 8.72740865765292 0.0620212990598366 0 0.0996533386537641 0.0265260574591802 0.00971265564152069
0.000690954773869347 0.577834210112425 0.601771896301679 8.68674839996582 0.0665190452752953 0 0.102933450816902 0.027750843098162 0.0102843254956064
0.000715577889447236 0.615056642914315 0.642251772553892 8.65334621635097 0.0710773182462215 0 0.105616873819695 0.0287777026653582 0.0107686126452919
0.000740201005025126 0.652815339157822 0.68353203207953 8.62628433166889 0.0756774659932319 0 0.107686838147731 0.0295880157393244 0.0111580073889614
0.000764824120603015 0.690960521743163 0.725464378309195 8.6041425460568 0.0803055642145101 0 0.109203959595314 0.0302023412539948 0.0114576367531838
0.000789447236180905 0.729342768500305 0.767888580441439 8.5860007640278 0.0849455746097746 0 0.11020009144889 0.0306271511295068 0.0116699065277328
0.000814070351758794 0.767815690913293 0.810650765831422 8.57174954909706 0.0895751429174892 0 0.11068523434872 0.0308634036467369 0.0117922796275954
0.000838693467336683 0.806241197536565 0.853599651278094 8.56036643183741 0.0941830240511694 0 0.110724509542655 0.0309333848106143 0.0118350529525373
0.000863316582914573 0.844505177368839 0.896612536585773 8.55004950541316 0.098771963464559 0 0.110565021160964 0.0309331007605289 0.0118214560781144
0.000887939698492462 0.882507471648555 0.939578239567424 8.54045374076136 0.103332621244299 0 0.109850950161145 0.0307218719674983 0.0117577731806202
0.000912562814070352 0.92015644735832 0.982389831437385 8.53133627381247 0.107856075276602 0 0.10901623787455 0.0304697465867274 0.0116497704602545
0.000937185929648241 0.957369012236676 1.02494913940715 8.52275611701655 0.112330917263395 0 0.107944113628711 0.0301295229804222 0.0115000142794634
0.000961809045226131 0.994070646721549 1.06716318721869 8.5146990214076 0.11674759662347 0 0.106657309219572 0.0297097780951463 0.0113123989358722
0.00098643216080402 1.03020058436636 1.10894510490193 8.51010157937239 0.121056203002731 0 0.104988147122007 0.0291466805779318 0.01105679556068
0.00101105527638191 1.0657132541228 1.150263709288 8.50131092250999 0.125358696304234 0 0.103435237858534 0.0286327911633655 0.0108267672984468
0.0010356783919598 1.10057059002611 1.19104958266183 8.49272159039088 0.129589858599787 0 0.101741638712473 0.0280687094190475 0.010573700679074
0.00106030150753769 1.13474082683294 1.23125535719875 8.48414761153303 0.133748359739806 0 0.0999349443661135 0.0274641325780296 0.0103032069416942
0.00108492462311558 1.16819788177509 1.27084203171968 8.47543295911386 0.137833416583031 0 0.0980416070213192 0.0268299312444667 0.0100202326746579
0.00110954773869347 1.20092078237039 1.3097629055616 8.47020591833403 0.141781769410229 0 0.0958766154198428 0.0260980947593913 0.00969052944990452
0.00113417085427136 1.23289399369169 1.34801850729909 8.46050095605661 0.145723521585221 0 0.093902212202181 0.0254412237365364 0.00939944418338788
0.00115879396984925 1.26410998382163 1.38557248619174 8.45054835158763 0.149589107265937 0 0.0918850571952713 0.0247722330158538 0.00910453202821903
0.00118341708542714 1.29456578051477 1.42241091248607 8.44047369662988 0.153375962895502 0 0.0898376842729039 0.0240949994533426 0.00880663501564957
0.00120804020100503 1.32426130003139 1.45852375056272 8.43019931971852 0.157085408044137 0 0.0877684383482159 0.0234130554750644 0.00850836150991093
0.00123266331658291 1.35319890973446 1.49392616663034 8.41492467714435 0.160809390654424 0 0.0859331071658561 0.0228184488491012 0.00825345088596444
0.0012572864321608 1.38138304789496 1.5285714618644 8.40350975067931 0.164381679664653 0 0.0838839078333156 0.0221525813664238 0.0079639546059709
0.00128190954773869 1.40881989473583 1.56247112174625 8.39199556697176 0.167876625230892 0 0.0818305537336261 0.0214857680567157 0.00767701418287405
0.00130653266331658 1.43551704261658 1.59562660780461 8.38066662468157 0.171289123754058 0 0.079770926871175 0.0208191770975783 0.00739148849353328
0.00133115577889447 1.46148195501368 1.62806759498244 8.36412523476645 0.174732194221443 0 0.077957938562938 0.0202452331020243 0.00714992319487941
0.00135577889447236 1.48672168794017 1.65973801118439 8.35168674791867 0.178014541590736 0 0.0759624026259423 0.019607689988816 0.00688023922845003
0.00138040201005025 1.51124428475244 1.6906619110558 8.34007830463515 0.181202649369915 0 0.0739464718979655 0.0189654273687583 0.00660975953686818
0.00140502512562814 1.53505871694488 1.72087446023638 8.3219662039575 0.184458657884827 0 0.0722340965558235 0.0184343560723279 0.00639031328885861
0.00142964824120603 1.55817475282053 1.750313037939 8.31003482412091 0.187505201337753 0 0.0702737777876714 0.0178166155679222 0.00613333385874586
0.00145427135678392 1.5806028399424 1.77904949233894 8.29136093465072 0.190632497173877 0 0.0686196092766818 0.0173097936907791 0.00592663281961568
0.00147889447236181 1.60235400053065 1.80705525683802 8.27344425043581 0.193674357622734 0 0.0669564120244478 0.016800906659887 0.00571951102914911
0.0015035175879397 1.62343973727919 1.83429921152057 8.26037720235521 0.196533366153825 0 0.0651228251463282 0.0162343877303785 0.00548837602119764
0.00152814070351759 1.64387173757427 1.86086094863643 8.24147543569732 0.199463281835915 0 0.0635494880636168 0.0157596381749541 0.00529820259450365
0.00155276381909548 1.66365982661065 1.88670613428019 8.22295426882677 0.202318992933913 0 0.0619905537890013 0.0152921855964892 0.00511098036322576
0.00157738693467337 1.68281300653931 1.91183551177606 8.20441748617935 0.205110601620904 0 0.0604550458797516 0.014833582448478 0.00492928065083603
