rhoc M Mb R C kl_1 kl_2 kl_3 kl_4
0.0005678391959799 0.400417208248376 0.411574499014374 8.99646375152185 0.0445082889574963 0 0.0776022050427864 0.0185448389628312 0.00610044181509091
0.000592462311557789 0.433240344756769 0.446367585987583 8.89927665180746 0.0486826471080407 0 0.0838840351632911 0.0206610519710869 0.0069985959000501
0.000617085427135678 0.467271668743519 0.482617675449615 8.82200854149996 0.0529665853921369 0 0.0894971236427259 0.0226139150061281 0.00784509060794131
0.000641708542713568 0.502410073856125 0.520221747016934 8.75887241218319 0.0573601315572648 0 0.0944168626365712 0.0243666571251582 0.00863472897868452
0.000666331658291457 0.538502594970119 0.559045805975343 8.70845603927868 0.0618367472421349 0 0.0986333792956833 0.0259180721265822 0.00934263839417942
0.000690954773869347 0.57535041859708 0.59888696562061 8.6683443503665 0.0663737382067378 0 0.102157987640828 0.0272433631737462 0.0099570267750479
0.000715577889447236 0.612723388711355 0.639511773485467 8.63651563295213 0.0709456700771251 0 0.104977400732299 0.0283306002931549 0.010471960107608
0.000740201005025126 0.650376199011908 0.680655031682086 8.61059699993565 0.0755320681036133 0 0.107159216513331 0.0291995899075614 0.0108932005724806
0.000764824120603015 0.68816121867276 0.72216019945802 8.58984842348697 0.0801133133841037 0 0.108738862896951 0.029848708512764 0.0112144428550769
0.000789447236180905 0.726077641552484 0.764048917016661 8.57192850292964 0.0847041177845022 0 0.109826897620808 0.03032799715323 0.011457699979513
0.000814070351758794 0.764198734014731 0.806385721356583 8.55727496086476 0.0893039825773583 0 0.110435329874302 0.0306242345180454 0.0116120623483025
0.000838693467336683 0.802653770757502 0.84933732734311 8.54433608181413 0.0939398641476522 0 0.110596602397879 0.0307570284630993 0.0116978323605966
0.000863316582914573 0.841616319741929 0.893103651303184 8.53386355256321 0.0986207846607932 0 0.110365924142859 0.0307517831767929 0.0117070629904083
0.000887939698492462 0.88113125909712 0.937755642634816 8.52465664865913 0.10336266848187 0 0.109821959507523 0.0306158705919578 0.0116588531556124
0.000912562814070352 0.920845774036551 0.982906207438325 8.51673114752712 0.108121972865602 0 0.108983980728489 0.0303692846112135 0.0115587906765064
0.000937185929648241 0.960194326291827 1.02791956918332 8.51169421363961 0.112808837135286 0 0.107817151229166 0.0299891989333855 0.0113935604946964
0.000961809045226131 0.998495951751773 1.07200866822328 8.50518806427166 0.117398456589834 0 0.106606055228421 0.0295976861523314 0.011219914457755
0.00098643216080402 1.0350417382873 1.11431761083057 8.5014010301121 0.121749548647472 0 0.105092376628675 0.0290889427800096 0.0109933065611958
0.00101105527638191 1.06918001193088 1.15407013070922 8.49473401246304 0.125863859935135 0 0.10366582045023 0.0286195549053229 0.0107837101975139
0.0010356783919598 1.10057820969501 1.1908071164714 8.49092538934092 0.129618169896608 0 0.101977150163084 0.0280552990805275 0.0105293201636415
0.00106030150753769 1.12975237777552 1.22511545144264 8.48229078320152 0.133189536488528 0 0.100445026098158 0.0275569248353277 0.0103130716389766
0.00108492462311558 1.15747639838483 1.25786066371952 8.4732166451521 0.136604131212327 0 0.0988000570167967 0.0270277005094316 0.0100797835706765
0.00110954773869347 1.18457005319288 1.2899966335785 8.46302028904089 0.139970130371403 0 0.0970232920586137 0.0264573407703251 0.00983063723227032
0.00113417085427136 1.21193071282362 1.32258839168708 8.45171015013496 0.143394732106882 0 0.0950740054174777 0.0258313502767235 0.00955845791654215
