Pressure Mass Radius Compactness k2 k3 k4 k10 h2 h3 h4 h10 j2 j3 j4 j10
9.999999999999999799e-13	9.533448945995258439e-02	2.844807707970124966e+02	4.948429236829869800e-04	3.781966357416548176e-04	1.144085979268633503e-08	-4.289078157212706924e-15	8.187113577386794366e-07	9.986649258325991374e-01	3.327835475043139923e-01	4.988523215300847413e-01	7.956721749093652596e-01	-2.989514865099173852e-07	-7.536630912445894219e-08	-1.414493422399442257e-08	-1.424011116643254703e-10
1.151395399326448084e-12	9.658708157773167324e-02	1.091998953787486641e+02	1.306071812348729528e-03	1.780183006379846969e-04	-5.256646889921408305e-07	-2.429153987373069260e-12	2.377109005799640791e-07	9.964619289477775199e-01	3.316370940821818381e-01	4.967730641497413169e-01	7.885832354281906431e-01	-4.479394185664607274e-07	-8.296465594093406155e-08	-1.333114352986860499e-08	-1.093044205670668759e-10
1.325711365590110884e-12	1.010905964628552450e-01	6.372173694394525967e+01	2.342574376789331118e-03	1.867879955809087825e-04	2.233432418559822352e-05	-2.372833493325716049e-09	1.262495592501580757e-07	9.933692212772012864e-01	3.302557054939937453e-01	4.941921235262312084e-01	7.796184164694205387e-01	-9.992138812897735264e-07	-1.343199405014874662e-07	-1.864513624542209508e-08	-1.068705924053874220e-10
1.526417967175236442e-12	1.075426199262030647e-01	4.419756305310856703e+01	3.592961167594907121e-03	2.923464529029560469e-04	6.396030493443022259e-05	-9.326926600647904601e-08	9.086795412406835224e-08	9.898616984827198761e-01	3.286073308421212369e-01	4.911019106541278934e-01	7.689241695775808072e-01	-2.627004794069956694e-06	-2.481856279404486838e-07	-2.992467881471563092e-08	-1.238633877204977812e-10
1.757510624854789421e-12	1.156733055739866817e-01	3.378280854078310114e+01	5.056006570320144451e-03	5.831597988018900631e-04	7.592505281826538875e-05	4.019231228606502569e-07	7.809466502486462694e-08	9.861120061199302178e-01	3.266954920424141595e-01	4.875085779287616772e-01	7.565744869212380763e-01	-7.018215167540882688e-06	-5.164221696487476111e-07	-5.114093304348901703e-08	-1.609537998279823312e-10
2.023589647725155637e-12	1.254190745050214606e-01	2.750173015365356122e+01	6.734010826140278926e-03	1.218974457034451139e-03	1.260107149726259117e-04	-1.795981354155493392e-06	7.415089814365418121e-08	9.824499650324975963e-01	3.245308062046469155e-01	4.834161934747221445e-01	7.426240727333254243e-01	-1.725941742868262172e-05	-1.184234809736816581e-06	-9.469419470823945506e-08	-2.221540038476537661e-10
2.329951810515371990e-12	1.367939229810073709e-01	2.340196489866430696e+01	8.631469015370664064e-03	2.399871627883395486e-03	2.326009648157589046e-04	-1.948792812760110908e-05	7.453023617196183850e-08	9.792862604044839658e-01	3.221320464907578285e-01	4.788286812904792855e-01	7.271203256999219100e-01	-3.805616326709036128e-05	-2.766211916982834253e-06	-1.929797685904241343e-07	-3.156668748790785435e-10
2.682695795279727225e-12	1.498525444086064862e-01	2.057490685395384133e+01	1.075465488906839420e-02	4.331259152175437679e-03	4.403594553035785068e-04	8.801841515321951045e-05	7.730457313116302797e-08	9.770487614041671875e-01	3.195268448286694984e-01	4.737522635113006753e-01	7.101079352584697135e-01	-7.573386158773888607e-05	-6.162844976515189353e-06	-4.167458554408928467e-07	-4.535466520039397641e-10
3.088843596477484937e-12	1.646759374991693947e-01	1.854604315177658691e+01	1.311140140953924622e-02	7.188279497054490992e-03	8.038672891233203301e-04	1.439907498403686522e-04	8.249999602877702087e-08	9.761116989551179568e-01	3.167499691189102351e-01	4.681973604892222807e-01	6.916320008709800904e-01	-1.380486889976484215e-04	-1.274567951725319501e-05	-8.971504377454148879e-07	-6.555542663528762779e-10
3.556480306223121258e-12	1.813642873565451397e-01	1.704592703839153245e+01	1.571091154803742548e-02	1.108682814373929647e-02	1.380374430514690704e-03	2.591782055190194911e-04	9.162698650674164889e-08	9.767377554400713535e-01	3.138392491881992208e-01	4.621792474578729215e-01	6.717409173127588673e-01	-2.338620040225086630e-04	-2.438878394818607193e-05	-1.846472220169831214e-06	-9.567586618469521770e-10
4.094915062380418745e-12	2.000325856292376470e-01	1.591144887497794080e+01	1.856355957012829558e-02	1.606598070321789765e-02	2.222074565104857971e-03	4.607047288672568453e-04	1.084110564057703874e-07	9.790416127863663664e-01	3.108302010398364401e-01	4.557173440503490269e-01	6.504892881109186620e-01	-3.727358291215580465e-04	-4.343548627932361164e-05	-3.571956182925983973e-06	-1.433451316918983348e-09
4.714866363457389669e-12	2.208073349088129633e-01	1.503872237234444853e+01	2.168067448787497700e-02	2.208304147917189084e-02	3.366940963413324502e-03	7.424658209153884962e-04	1.431275870016185942e-07	9.829776912140626433e-01	3.077506241272429666e-01	4.488333663776896687e-01	6.279408858826748263e-01	-5.645011960481057228e-04	-7.259999943262877961e-05	-6.477916743563385030e-06	-2.243457800938297591e-09
5.428675439323858973e-12	2.438236333056017779e-01	1.435876640739571641e+01	2.507430494282199968e-02	2.901889584445594555e-02	4.832027318477149190e-03	1.151707707683678446e-03	2.128175363975577241e-07	9.883479700418920100e-01	3.046159564671496733e-01	4.415484368432450180e-01	6.041713645342929873e-01	-8.188408597496545397e-04	-1.148134631738838225e-04	-1.105299179095829661e-05	-3.697400898578359784e-09
