#
#
#
200
#
#
#
   1 6.0821221e+23 1.0000014e+00 1.0000000e+00
   2 7.3187264e+23 1.2033198e+00 5.5575769e+14
   3 8.8067546e+23 1.4479764e+00 7.1131066e+14
   4 1.0597326e+24 1.7423761e+00 9.1040191e+14
   5 1.2751952e+24 2.0966326e+00 1.1652175e+15
   6 1.5344652e+24 2.5229158e+00 1.4913543e+15
   7 1.8464494e+24 3.0358702e+00 1.9087748e+15
   8 2.2218657e+24 3.6531175e+00 2.4430285e+15
   9 2.6736108e+24 4.3958623e+00 3.1268163e+15
  10 3.2172037e+24 5.2896207e+00 4.0019919e+15
  11 3.8713189e+24 6.3650963e+00 5.1221236e+15
  12 4.6584273e+24 7.6592357e+00 6.5557728e+15
  13 5.6055691e+24 9.2164972e+00 8.3906911e+15
  14 6.7452817e+24 1.1090378e+01 1.0739191e+16
  15 8.1167182e+24 1.3345254e+01 1.3745021e+16
  16 9.7669924e+24 1.6058586e+01 1.7592164e+16
  17 1.1752797e+25 1.9323589e+01 2.2516096e+16
  18 1.4142351e+25 2.3252427e+01 2.8818206e+16
  19 1.7017744e+25 2.7980069e+01 3.6884235e+16
  20 2.0477757e+25 3.3668927e+01 4.7207894e+16
  21 2.4641251e+25 4.0514435e+01 6.0421078e+16
  22 2.9651259e+25 4.8751761e+01 7.7332546e+16
  23 3.5679891e+25 5.8663887e+01 9.8977425e+16
  24 4.2934252e+25 7.0591332e+01 1.2668057e+17
  25 5.1663554e+25 8.4943846e+01 1.6213763e+17
  26 6.2167680e+25 1.0221449e+02 2.0751891e+17
  27 7.4807483e+25 1.2299658e+02 2.6560211e+17
  28 9.0017185e+25 1.4800406e+02 3.3994242e+17
  29 1.0831929e+26 1.7809602e+02 4.3509010e+17
  30 1.3034254e+26 2.1430625e+02 5.5686900e+17
  31 1.5684352e+26 2.5787869e+02 7.1273303e+17
  32 1.8873261e+26 3.1031023e+02 9.1222238e+17
  33 2.2710533e+26 3.7340209e+02 1.1675475e+18
  34 2.7327991e+26 4.4932172e+02 1.4943365e+18
  35 3.2884262e+26 5.4067726e+02 1.9125916e+18
