# EoS FPS
# 
# 
129
#
#            nb [cm-3]            rho [g/cm3]           P [erg/cm2]
#
    89	   1.2576878e+38   2.1335300e+14   1.3661800e+33
    90	   1.4111446e+38   2.3960800e+14   1.9661300e+33
    91	   1.4985601e+38   2.5460000e+14   2.3768700e+33
    92	   1.5833818e+38   2.6917400e+14   2.8245200e+33
    93	   1.7765970e+38   3.0248000e+14   4.0283200e+33
    94	   1.9933920e+38   3.4004300e+14   5.6912100e+33
    95	   2.2365635e+38   3.8244000e+14   7.9702100e+33
    96	   2.5095005e+38   4.3039100e+14   1.1102400e+34
    97	   2.8157111e+38   4.8468800e+14   1.5448400e+34
    98	   2.9971383e+38   5.1713000e+14   1.8496100e+34
    99	   3.1592802e+38   5.4630800e+14   2.1548700e+34
   100	   3.9772780e+38   6.9650100e+14   4.2259100e+34
   101	   4.4624898e+38   7.8826600e+14   5.9080000e+34
   102	   5.0070389e+38   8.9393500e+14   8.2167600e+34
   103	   5.6179032e+38   1.0161300e+15   1.1344900e+35
   104	   5.9941026e+38   1.0934200e+15   1.3556900e+35
   105	   6.3033776e+38   1.1581700e+15   1.5539600e+35
   106	   7.0724453e+38   1.3241100e+15   2.1122300e+35
   107	   7.9353337e+38   1.5190300e+15   2.8543100e+35
   108	   8.9035104e+38   1.7494000e+15   3.8484900e+35
   109	   9.9898524e+38   2.0236200e+15   5.1966200e+35
   110	   1.1208644e+39   2.3525100e+15   7.0066500e+35
   111	   1.2577258e+39   2.7501800e+15   9.4069900e+35
   112	   1.4110695e+39   3.2331400e+15   1.2565200e+36
   113	   1.5833932e+39   3.8250900e+15   1.6710900e+36
   114	   1.7764964e+39   4.5526600e+15   2.2107600e+36
   115	   1.9929789e+39   5.4516500e+15   2.9097800e+36
   116	   2.2364299e+39   6.5707500e+15   3.8137400e+36
   117	   2.5094513e+39   7.9649600e+15   4.9739400e+36
   118	   2.8155389e+39   9.7061000e+15   6.4562500e+36
   119	   3.1587903e+39   1.1885600e+16   8.3435400e+36
   120	   3.5444961e+39   1.4624000e+16   1.0743600e+37
   121	   3.9769277e+39   1.8060600e+16   1.3780700e+37
   122	   4.4622388e+39   2.2381200e+16   1.7617800e+37
   123	   5.0068990e+39   2.7815200e+16   2.2453300e+37
   124	   5.6176598e+39   3.4644400e+16   2.8524700e+37
   125	   6.3036055e+39   4.3237700e+16   3.6131000e+37
   126	   7.0723049e+39   5.4019800e+16   4.5602700e+37
   127	   7.9349018e+39   6.7551200e+16   5.7356200e+37
   128	   8.9028881e+39   8.4509000e+16   7.1870500e+37
   129	   9.9898236e+39   1.0573800e+17   8.9736800e+37
